county_fips,state,county_name,dem_votes,rep_votes,totalvotes,rep_share,dem_share,rep_margin,cdd_annual,hdd_annual,avg_res_rate
01001,ALABAMA,AUTAUGA,7439.0,20484.0,28281,0.7243025352710301,0.263038789293165,0.461263745977865,2513,2003,0.1670744215378807
01003,ALABAMA,BALDWIN,24934.0,95798.0,122249,0.7836301319438196,0.2039607685952441,0.5796693633485754,3055,1355,0.1420417288494799
01005,ALABAMA,BARBOUR,4158.0,5606.0,9855,0.5688483003551497,0.421917808219178,0.1469304921359716,2526,1811,0.1619613234273264
01007,ALABAMA,BIBB,1619.0,7572.0,9257,0.8179755860429945,0.1748946743005293,0.6430809117424652,2294,2212,0.16464989806686547
01009,ALABAMA,BLOUNT,2576.0,25354.0,28163,0.9002592053403402,0.0914675283172957,0.8087916770230444,2040,2544,0.15923578561144527
01011,ALABAMA,BULLOCK,2983.0,1101.0,4111,0.2678180491364631,0.7256142057893457,-0.4577961566528825,2431,1925,0.15756859647395566
01013,ALABAMA,BUTLER,3251.0,5172.0,8480,0.6099056603773585,0.3833726415094339,0.2265330188679245,2570,1842,0.1602765136875436
01015,ALABAMA,CALHOUN,13194.0,34912.0,48653,0.7175713727827677,0.2711857439417918,0.4463856288409759,1964,2473,0.16504647102599654
01017,ALABAMA,CHAMBERS,5405.0,8711.0,14245,0.6115128115128116,0.3794313794313794,0.2320814320814321,2014,2313,0.15921480466584803
01019,ALABAMA,CHEROKEE,1553.0,11358.0,13006,0.8732892511148701,0.1194064278025526,0.7538828233123174,1858,2681,0.1513373803168896
01021,ALABAMA,CHILTON,2698.0,16920.0,19763,0.8561453220664879,0.1365177351616657,0.7196275869048221,2243,2165,0.1670745859764413
01023,ALABAMA,CHOCTAW,2515.0,4103.0,6656,0.6164362980769231,0.3778545673076923,0.2385817307692308,2596,1919,0.14721152178454672
01025,ALABAMA,CLARKE,4927.0,6965.0,11958,0.5824552600769359,0.4120254223114233,0.1704298377655126,2622,1789,0.15469499162927122
01027,ALABAMA,CLAY,993.0,5734.0,6767,0.8473474213092951,0.1467415398256243,0.7006058814836708,1817,2520,0.15617304448895133
01029,ALABAMA,CLEBURNE,605.0,6988.0,7651,0.9133446608286498,0.0790746307672199,0.8342700300614299,1735,2563,0.16682632139029036
01031,ALABAMA,COFFEE,4601.0,17495.0,22319,0.7838612841077109,0.2061472288184954,0.5777140552892155,2681,1763,0.16136794572717666
01033,ALABAMA,COLBERT,7137.0,19714.0,27160,0.7258468335787923,0.2627761413843888,0.4630706921944035,2008,2700,0.12541510943526732
01035,ALABAMA,CONECUH,2580.0,3423.0,6051,0.5656916212196331,0.4263758056519584,0.1393158155676747,2632,1724,0.14656111063665198
01037,ALABAMA,COOSA,1478.0,3758.0,5268,0.7133637053910402,0.2805618830675778,0.4328018223234623,2082,2282,0.16546083562551103
01039,ALABAMA,COVINGTON,2314.0,14677.0,17095,0.8585551330798479,0.135361216730038,0.7231939163498098,2702,1715,0.15769310119241442
01041,ALABAMA,CRENSHAW,1457.0,5000.0,6486,0.7708911501695961,0.2246376811594203,0.5462534690101758,2529,1894,0.1604452241579657
01043,ALABAMA,CULLMAN,4039.0,38704.0,43146,0.897047234969638,0.0936123858526862,0.8034348491169517,1996,2618,0.14089576868687417
01045,ALABAMA,DALE,4484.0,14476.0,19139,0.756361356392706,0.2342860128533361,0.5220753435393699,2697,1702,0.16332414868568004
01047,ALABAMA,DALLAS,10236.0,5190.0,15547,0.3338264616967903,0.6583906863060397,-0.3245642246092493,2682,1929,0.162231661110687
01049,ALABAMA,DEKALB,3758.0,25633.0,29660,0.8642279163857046,0.1267026298044504,0.7375252865812542,1579,2972,0.1291004820852575
01051,ALABAMA,ELMORE,9774.0,31374.0,41624,0.7537478377858927,0.234816452046896,0.5189313857389967,2365,2057,0.16662621229081007
01053,ALABAMA,ESCAMBIA,3964.0,10884.0,14957,0.7276860332954469,0.2650264090392458,0.462659624256201,2699,1618,0.15204712667129072
01055,ALABAMA,ETOWAH,10027.0,35653.0,46137,0.7727637254264473,0.2173309924789215,0.5554327329475258,2001,2579,0.16015321006341932
01057,ALABAMA,FAYETTE,1142.0,7158.0,8369,0.8552993189150436,0.1364559684550125,0.7188433504600311,2162,2476,0.1677199297277017
01059,ALABAMA,FRANKLIN,1568.0,10417.0,12097,0.8611225923782756,0.1296189137802761,0.7315036785979995,1896,2752,0.14850476204313232
01061,ALABAMA,GENEVA,1391.0,10929.0,12401,0.8812998951697444,0.1121683735182646,0.7691315216514797,2773,1677,0.16184534245693744
01063,ALABAMA,GREENE,3133.0,885.0,4039,0.2191136419905917,0.7756870512503095,-0.5565734092597178,2501,2122,0.1463998481721149
01065,ALABAMA,HALE,3868.0,3369.0,7305,0.4611909650924025,0.5295003422313483,-0.0683093771389458,2549,2080,0.15006509088571177
01067,ALABAMA,HENRY,2263.0,6989.0,9320,0.7498927038626609,0.2428111587982832,0.5070815450643776,2691,1668,0.16653633016978078
01069,ALABAMA,HOUSTON,11352.0,32469.0,44349,0.7321247378745857,0.2559696949198403,0.4761550429547453,2837,1589,0.15125875974365124
01071,ALABAMA,JACKSON,3276.0,20073.0,23556,0.8521395822720326,0.1390728476821192,0.7130667345899133,1742,2912,0.12513226704905436
01073,ALABAMA,JEFFERSON,162112.0,131123.0,298704,0.4389730301569446,0.5427178745513953,-0.1037448443944506,2231,2325,0.16422059460441976
01075,ALABAMA,LAMAR,806.0,6033.0,6890,0.8756168359941945,0.1169811320754717,0.7586357039187228,2228,2453,0.16771992972770172
01077,ALABAMA,LAUDERDALE,10326.0,32708.0,43637,0.7495474024337145,0.2366340490867841,0.5129133533469303,1951,2775,0.12077722969261945
01079,ALABAMA,LAWRENCE,2983.0,13024.0,16122,0.8078402183351941,0.1850266716288301,0.622813546706364,1951,2755,0.13918572135588547
01081,ALABAMA,LEE,25798.0,46020.0,73127,0.6293161212684781,0.3527835136133029,0.2765326076551752,2226,2095,0.15650051104962387
01083,ALABAMA,LIMESTONE,14581.0,37887.0,53332,0.7103990099752494,0.2734005850146254,0.436998424960624,1995,2783,0.12319685153820668
01085,ALABAMA,LOWNDES,3867.0,1758.0,5655,0.3108753315649867,0.6838196286472149,-0.3729442970822281,2639,1903,0.16512602988263028
01087,ALABAMA,MACON,6084.0,1682.0,7834,0.214705131478172,0.7766147561909624,-0.5619096247127904,2413,1961,0.157147731909563
01089,ALABAMA,MADISON,87824.0,105430.0,197617,0.5335067327203631,0.4444152071937131,0.08909152552665,1959,2767,0.11684077031891318
01091,ALABAMA,MARENGO,4631.0,4995.0,9682,0.5159058045858294,0.478310266473869,0.0375955381119603,2691,1938,0.15043713541570503
01093,ALABAMA,MARION,1197.0,12245.0,13543,0.9041571291442072,0.0883851436166285,0.8157719855275788,1973,2675,0.16614149660817287
01095,ALABAMA,MARSHALL,5553.0,34434.0,40288,0.8546961874503575,0.1378326052422557,0.7168635822081018,1947,2636,0.13071251451700344
01097,ALABAMA,MOBILE,72055.0,100759.0,175164,0.5752266447443538,0.4113573565344477,0.1638692882099061,3132,1348,0.16547889480993883
01099,ALABAMA,MONROE,3740.0,6007.0,9815,0.6120224146714213,0.3810494141619969,0.2309730005094243,2644,1732,0.15530534716914715
01101,ALABAMA,MONTGOMERY,57946.0,30477.0,89798,0.3393950867502617,0.6452927682131006,-0.3058976814628388,2505,1949,0.1646900162672234
01103,ALABAMA,MORGAN,12392.0,40449.0,53543,0.7554488915451133,0.2314401509067478,0.5240087406383654,2026,2673,0.1304210152662847
01105,ALABAMA,PERRY,3174.0,1269.0,4465,0.2842105263157894,0.7108622620380739,-0.4266517357222844,2530,2056,0.15346853479259792
01107,ALABAMA,PICKENS,3388.0,5465.0,8912,0.613218132854578,0.38016157989228,0.233056552962298,2369,2250,0.1615281882238594
01109,ALABAMA,PIKE,4899.0,8224.0,13216,0.6222760290556901,0.3706870460048426,0.2515889830508475,2547,1866,0.15074216551421457
01111,ALABAMA,RANDOLPH,1920.0,9102.0,11091,0.8206654043819313,0.1731133351365972,0.647552069245334,1873,2450,0.15835366061314418
01113,ALABAMA,RUSSELL,10422.0,10078.0,20718,0.4864369147601119,0.5030408340573415,-0.0166039192972294,2420,1922,0.15423559601433437
01115,ALABAMA,ST. CLAIR,7640.0,35501.0,43526,0.8156274410697054,0.1755272710563801,0.6401001700133253,2069,2478,0.16503486028006834
01117,ALABAMA,SHELBY,33087.0,79666.0,114698,0.6945718321156428,0.2884705923381401,0.4061012397775026,2185,2286,0.16296100228150512
01119,ALABAMA,SUMTER,3725.0,1542.0,5307,0.29055963821368,0.7019031467872621,-0.411343508573582,2587,2024,0.15006200071000642
01121,ALABAMA,TALLADEGA,10898.0,22100.0,33250,0.6646616541353384,0.3277593984962406,0.3369022556390978,2083,2392,0.16329487571788528
01123,ALABAMA,TALLAPOOSA,4975.0,14884.0,20023,0.743345153073965,0.2484642660939919,0.494880886979973,2059,2303,0.15734054606240305
01125,ALABAMA,TUSCALOOSA,33399.0,50724.0,85256,0.5949610584592286,0.3917495542835695,0.2032115041756591,2294,2253,0.1621559661880738
01127,ALABAMA,WALKER,4102.0,25464.0,29786,0.8548982743570805,0.1377157053649365,0.717182568992144,2130,2472,0.16517127523162736
01129,ALABAMA,WASHINGTON,1863.0,6534.0,8441,0.7740789006041938,0.220708446866485,0.5533704537377088,2668,1729,0.15503599704405258
01131,ALABAMA,WILCOX,3449.0,1793.0,5263,0.3406802204066122,0.6553296598897967,-0.3146494394831845,2695,1836,0.15722031908679437
01133,ALABAMA,WINSTON,884.0,10191.0,11149,0.9140730110323796,0.079289622387658,0.8347833886447215,1886,2718,0.15735531712674816
04001,ARIZONA,APACHE,18872.0,12795.0,32685,0.3914639743001377,0.5773902401713324,-0.1859262658711947,747,5373,0.1519199680817805
04003,ARIZONA,COCHISE,22296.0,35936.0,59501,0.6039562360296465,0.3747163913211542,0.2292398447084923,1933,2629,0.14408244481080845
