county_fips,state,county_name,DEMOCRAT,REPUBLICAN,totalvotes,rep_share,dem_share,rep_margin
01001,ALABAMA,AUTAUGA,7439.0,20484.0,28281,0.7243025352710301,0.26303878929316504,0.461263745977865
01003,ALABAMA,BALDWIN,24934.0,95798.0,122249,0.7836301319438196,0.20396076859524415,0.5796693633485754
01005,ALABAMA,BARBOUR,4158.0,5606.0,9855,0.5688483003551497,0.42191780821917807,0.1469304921359716
01007,ALABAMA,BIBB,1619.0,7572.0,9257,0.8179755860429945,0.17489467430052932,0.6430809117424652
01009,ALABAMA,BLOUNT,2576.0,25354.0,28163,0.9002592053403402,0.09146752831729574,0.8087916770230444
01011,ALABAMA,BULLOCK,2983.0,1101.0,4111,0.2678180491364631,0.7256142057893457,-0.45779615665288254
01013,ALABAMA,BUTLER,3251.0,5172.0,8480,0.6099056603773585,0.38337264150943395,0.22653301886792454
01015,ALABAMA,CALHOUN,13194.0,34912.0,48653,0.7175713727827677,0.27118574394179185,0.4463856288409759
01017,ALABAMA,CHAMBERS,5405.0,8711.0,14245,0.6115128115128116,0.37943137943137945,0.23208143208143212
01019,ALABAMA,CHEROKEE,1553.0,11358.0,13006,0.8732892511148701,0.11940642780255267,0.7538828233123174
01021,ALABAMA,CHILTON,2698.0,16920.0,19763,0.8561453220664879,0.13651773516166574,0.7196275869048221
01023,ALABAMA,CHOCTAW,2515.0,4103.0,6656,0.6164362980769231,0.3778545673076923,0.23858173076923084
01025,ALABAMA,CLARKE,4927.0,6965.0,11958,0.5824552600769359,0.4120254223114233,0.17042983776551263
01027,ALABAMA,CLAY,993.0,5734.0,6767,0.8473474213092951,0.14674153982562435,0.7006058814836708
01029,ALABAMA,CLEBURNE,605.0,6988.0,7651,0.9133446608286498,0.07907463076721997,0.8342700300614299
01031,ALABAMA,COFFEE,4601.0,17495.0,22319,0.7838612841077109,0.20614722881849545,0.5777140552892155
01033,ALABAMA,COLBERT,7137.0,19714.0,27160,0.7258468335787923,0.2627761413843888,0.4630706921944035
01035,ALABAMA,CONECUH,2580.0,3423.0,6051,0.5656916212196331,0.4263758056519584,0.13931581556767475
01037,ALABAMA,COOSA,1478.0,3758.0,5268,0.7133637053910402,0.28056188306757784,0.43280182232346237
01039,ALABAMA,COVINGTON,2314.0,14677.0,17095,0.8585551330798479,0.13536121673003804,0.7231939163498098
01041,ALABAMA,CRENSHAW,1457.0,5000.0,6486,0.7708911501695961,0.2246376811594203,0.5462534690101758
01043,ALABAMA,CULLMAN,4039.0,38704.0,43146,0.897047234969638,0.09361238585268623,0.8034348491169517
01045,ALABAMA,DALE,4484.0,14476.0,19139,0.756361356392706,0.2342860128533361,0.5220753435393699
01047,ALABAMA,DALLAS,10236.0,5190.0,15547,0.33382646169679037,0.6583906863060397,-0.32456422460924933
01049,ALABAMA,DEKALB,3758.0,25633.0,29660,0.8642279163857046,0.12670262980445043,0.7375252865812542
01051,ALABAMA,ELMORE,9774.0,31374.0,41624,0.7537478377858927,0.23481645204689602,0.5189313857389967
01053,ALABAMA,ESCAMBIA,3964.0,10884.0,14957,0.7276860332954469,0.26502640903924585,0.46265962425620105
01055,ALABAMA,ETOWAH,10027.0,35653.0,46137,0.7727637254264473,0.2173309924789215,0.5554327329475258
01057,ALABAMA,FAYETTE,1142.0,7158.0,8369,0.8552993189150436,0.13645596845501254,0.7188433504600311
01059,ALABAMA,FRANKLIN,1568.0,10417.0,12097,0.8611225923782756,0.1296189137802761,0.7315036785979995
01061,ALABAMA,GENEVA,1391.0,10929.0,12401,0.8812998951697444,0.11216837351826466,0.7691315216514797
01063,ALABAMA,GREENE,3133.0,885.0,4039,0.21911364199059172,0.7756870512503095,-0.5565734092597178
01065,ALABAMA,HALE,3868.0,3369.0,7305,0.4611909650924025,0.5295003422313483,-0.06830937713894586
01067,ALABAMA,HENRY,2263.0,6989.0,9320,0.7498927038626609,0.24281115879828327,0.5070815450643776
01069,ALABAMA,HOUSTON,11352.0,32469.0,44349,0.7321247378745857,0.25596969491984034,0.4761550429547453
01071,ALABAMA,JACKSON,3276.0,20073.0,23556,0.8521395822720326,0.1390728476821192,0.7130667345899133
